RESPALDO DE PRODUCTOS - 20-04-2026 16:38
Servidor: 192.168.0.100 | Base de datos: dbecosur | Total: 34118 productos
==============================================================================================================
ID       DESCRIPCION                                                         PVP_SUGERIDO EST    CODIGOS_BARRA
40412    A.BAND.SEDUCTION IN BLUE PLAY 80ML                                             - ACTV   8411061854914
40411    A.BAND.SEDUCTION PLAY IN BLACK 100ML                                           - ACTV   8411061854761
15163    A.BAND.SPIRIT MEN 100ML                                                  $19,990 ACTV   000661077915|661077915|84110611137017|8411061137017
39116    A.BAND.SPIRIT MEN 100ML                                                  $19,990 ACTV   8411061924662
30482    A.BAND.SPIRIT MEN 100ML+NECESSARIE                                             - ACTV   8411061708972|84110617089728972
32439    A.BAND.SPIRIT MEN 100ML+SPIRIT 50ML S/CAJA                                     - ACTV   1009110
32554    A.BAND.SPIRIT MEN 50ML+AF.SHAVE                                          $13,990 ACTV   8411061808160|8411061834381
39350    A.BAND.SPIRIT MEN 50ML+AF.SHAVE                                          $13,990 ACTV   8411061876541
22913    A.BAND.SPIRIT MEN 50ML+DES.SP.150ML                                      $13,990 ACTV   7795646147570|7807706292615|8411061768273|8411061787557|8411061808047|8411061833537|8411061867648
39166    A.BAND.SPIRIT MEN 50ML+DES.SP.150ML                                      $13,990 ACTV   8411061919552
26566    A.BAND.SPIRIT MEN NIGTH FEVER 50 ML                                            - ACTV   661237388
12077    A.BAND.SPIRIT MEN SP.30ML                                                 $6,990 ACTV   000661077939|8411061675434
13262    A.BAND.SPIRIT MEN SP.50ML                                                $13,990 ACTV   661158140|7706215520632|8411061552063
39093    A.BAND.SPIRIT MEN SP.50ML                                                $13,990 ACTV   8411061924693
32580    A.BAND.SPIRIT WOM.100ML+DES.SP.150ML                                           - ACTV   8411061808177
13226    A.BAND.SPIRIT WOM.50ML                                                   $13,990 ACTV   000661169566|7706215612498|8411061561249
39092    A.BAND.SPIRIT WOM.50ML                                                   $13,990 ACTV   8411061933473
36924    A.BAND.SPIRIT WOM.50ML+B/LOT.SHIM.50ML                                   $13,990 ACTV   8411061876602
39482    A.BAND.SPIRIT WOM.50ML+B/LOT.SHIM.50ML                                   $13,990 ACTV   8411061918661
34880    A.BAND.SPIRIT WOM.50ML+B/LOTION 50ML                                     $13,990 ACTV   8411061834435
28231    A.BAND.SPIRIT WOM.50ML+DES.SP.150ML                                      $13,990 ACTV   7807706292622|8411061787571|8411061867709
17068    A.BAND.SPIRIT WOM.NIGHT FEVER 100ML                                       $9,290 ACTV   8411061599792
